Wine Title,Province,Region,Suburb,NoOfWineries,RegionPoints,GrapeVariety,NoOfWineriesPlantedByRegion,NoOfWineriesPlantedTotal,Winery,WineryPoints,Address,Winery-long,Winery-lat,Points,Price
Yarra Yering 2005 Dry Red Wine No. 1 Red (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Bordeaux-style Red Blend,5,5,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,90,85
Mount Mary 2010 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Lilydale ,19,88.25,Pinot Noir,10,17,Mount Mary,88.5,"Coldstream West Road, Lilydale, Vic 3140",145.3304123,-37.7154846,86,
Sibling Rivalry 2010 Pinot Noir (Geelong),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Pinot Noir,1,17,Sibling Rivalry,84.5,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,85,17
Sticks 2005 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen,19,88.25,Pinot Noir,10,17,Sticks,87.5,"206 Yarraview Road, Yarra Glen, Vic 3775",145.3695467,-37.6542231,85,17
Yering Station 2006 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Chardonnay,11,16,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,86,18
Giant Steps 2013 Applejack Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,90,42
Giant Steps 2014 Applejack Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,90,42
Innocent Bystander 2010 Moscato (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,87,14
Tahbilk 2006 Shiraz (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Shiraz,2,27,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,87,19
Innocent Bystander 2012 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,86,20
Campbells 1993 The Barkly Durif (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Durif,2,2,Campbells,88,"4603 Murray Valley Highway, Rutherglen, Vic 3685",146.4310429,-36.0600116,84,30
Yering Station 2012 Village Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,84,26
Yarra Yering 2008 Dry Red Wine No. 2 Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Shiraz-Viognier,3,4,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,94,95
Moorooduc 2013 Robinson Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Pinot Noir,6,17,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,92,55
Moorooduc 2013 The Moorooduc McIntyre Chardonnay (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Chardonnay,3,16,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,92,65
Innocent Bystander 2008 Pinot Gris (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Gris,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,85,20
De Bortoli 2009 Deen De Bortoli Vat 2 Sauvignon Blanc (Australia),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Sauvignon Blanc,2,3,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,84,13
Yering Station 2006 Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Shiraz-Viognier,3,4,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,87,18
Giant Steps 2009 Sexton Vineyard Chardonnay (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,91,35
Innocent Bystander 2007 Moscato (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Moscato,1,1,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,85,10
De Bortoli 2007 Estate Grown Sauvignon (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Sauvignon,1,1,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,88,30
Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,92,100
Stonier 2006 Reserve Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Merricks ,7,89.24,Pinot Noir,6,17,Stonier,89.33,"Cnr Thompson's Lane/Frankston-Flinders Road, Merricks, Vic 3916",145.137762,-38.36615,89,40
Tahbilk 2013 Cabernet Sauvignon (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Cabernet Sauvignon,1,6,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,87,23
Tahbilk 2007 Cabernet Sauvignon (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Cabernet Sauvignon,1,6,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,85,19
Coldstream Hills 2006 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Chardonnay,11,16,Coldstream Hills,86.33,"31 Maddens Lane, Coldstream, Vic 3770",145.4626586,-37.7057191,89,19
Yeringberg 2012 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Pinot Noir,10,17,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,89,50
Yarra Yering 2007 Dry Red Wine No. 1 Red (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Red Blend,1,4,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,92,75
R.L. Buller & Son 2004 Calliope Limited Release Durif (Rutherglen),Victoria,Rutherglen,Rutherglen ,5,91.17,Durif,2,2,R.L. Buller & Son,91,"2804 Federation Way, Rutherglen, Vic 3685",146.4146699,-35.9900669,88,35
Arthur's Creek 1999 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Arthurs Creek ,19,88.25,Chardonnay,11,16,Arthur's Creek,85,"Strathewen Road, Arthurs Creek, Vic 3099",145.218896,-37.594102,85,25
Willow Creek 2001 Unoaked Chardonnay (Mornington Peninsula),Victoria,Mornington Peninsula,Merricks North ,7,89.24,Chardonnay,3,16,Willow Creek,85,"166 Balnarring Road, Merricks North, Vic 3926",145.0927026,-38.325973,85,18
Yarra Yering 2009 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Pinot Noir,10,17,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,90,95
Yering Station 2010 Reserve Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,90,65
Domaine Terlato & Chapoutier 2009 Lieu Dit Malakoff Viognier (Pyrenees),Victoria,Heathcote,Heathcote ,8,90.46,Viognier,1,3,Domaine Terlato & Chapoutier,89.86,"141-143 High Street, Heathcote, Vic 3523 ",144.7058405,-36.9193206,82,30
Tatiarra 2005 Cambrian Shiraz (Heathcote),Victoria,Heathcote,Eltham ,8,90.46,Shiraz,7,27,Tatiarra,92,"2 Corrong Court, Eltham, Vic 3095",145.1613758,-37.730291,92,56
Domaine Terlato & Chapoutier 2012 L- Block Shiraz (Pyrenees),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Domaine Terlato & Chapoutier,89.86,"141-143 High Street, Heathcote, Vic 3523 ",144.7058405,-36.9193206,92,60
Tournon by Michel Chapoutier 2014 Mathilda White (Victoria),Victoria,Heathcote,Heathcote ,8,90.46,Rhone-style White Blend,1,1,Tournon by Michel Chapoutier,90,"141-143 High Street, Heathcote, Vic 3523",144.7058405,-36.9193206,90,16
Moorooduc 2014 The Moorooduc McIntyre Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Pinot Noir,6,17,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,91,65
Warrabilla 2000 Shiraz (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Shiraz,3,27,Warrabilla,87.5,"340 Old Healesville Road, Yarra Glen, Vic 3775",145.3978993,-37.6461222,87,27
Warramate 2012 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Gruyere ,19,88.25,Pinot Noir,10,17,Warramate,90,"27 Maddens Lane, Gruyere, Vic 3770",145.4626586,-37.7057191,91,
Innocent Bystander 2013 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,20
De Bortoli 2008 Gulf Station Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Shiraz-Viognier,3,4,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,88,20
Yeringberg 2005 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,90,35
T'Gallant 2000 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Main Ridge ,7,89.24,Pinot Noir,6,17,T'Gallant,86,"1385 Mornington-Flinders Road, Main Ridge, Vic 3928",144.9841379,-38.4194884,85,25
Yering Station 2010 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,89,20
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,99,300
De Bortoli 2008 Deen De Bortoli Vat 9 Cabernet Sauvignon (Australia),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Cabernet Sauvignon,3,6,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,87,13
Innocent Bystander 2015 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,89,20
Yarra Burn 2000 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Mulgra,19,88.25,Chardonnay,11,16,Yarra Burn,84,"4/19 Geddes Street, Mulgrave, VIC 3170",145.1541824,-37.9057778,84,16
Giant Steps 2011 Applejack Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,88,42
Tahbilk 2006 Viognier (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Viognier,1,3,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,87,14
De Bortoli 2008 Estate Grown Chardonnay (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Chardonnay,11,16,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,87,30
Domaine Terlato & Chapoutier 2013 L-Block Shiraz (Pyrenees),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Domaine Terlato & Chapoutier,89.86,"141-143 High Street, Heathcote, Vic 3523 ",144.7058405,-36.9193206,90,60
Chambers Rosewood Vineyards NV Grand Muscadelle Tokay (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Tokay,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,91,140
Fairbank Sutton Grange 2015 Sangiovese (Bendigo),Victoria,Bendigo,Sutton Grange ,6,88.67,Sangiovese,1,1,Fairbank Sutton Grange,89.5,"Carnochans Road, Sutton Grange, Vic 3448",144.3834389,-36.9448631,90,22
Little Rebel 2004 Cabernet Sauvignon-Merlot (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Cabernet Sauvignon-Merlot,1,1,Little Rebel,87,"	10 St Huberts Road, Coldstream, Vic 3770",145.4136537,-37.6911203,87,15
Passing Clouds 2005 Reserve Shiraz (Bendigo),Victoria,Bendigo,Musk ,6,88.67,Shiraz,3,27,Passing Clouds,89,"30 Roddas Lane, Musk, Vic 3461",144.1957377,-37.3756315,92,30
Yarra Yering 2009 Dry Red Wine No. 2 Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Coldstream ,19,88.25,Shiraz-Viognier,3,4,Yarra Yering,91.18,"Briarty Road, Coldstream, Vic 3770",145.476806,-37.711508,91,95
Taltarni NV T Series Chardonnay-Pinot Noir-Pinot Meunier Sparkling (Australia),Victoria,Pyrenees,Moonambel ,2,88.57,Sparkling Blend,1,3,Taltarni,89.6,"339 Taltarni Road, Moonambel, Vic 3478 ",143.2737355,-36.9681523,89,13
Moorooduc 2011 Robinson Vineyard Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Pinot Noir,6,17,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,83,55
Giant Steps 2013 Tarraford Vineyard Chardonnay (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,90,42
Mount Langi Ghiran 2004 Langi Shiraz (Victoria),Victoria,Grampians,Buangor,2,89.33,Shiraz,2,27,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,89,60
Innocent Bystander 2016 Moscato Rose Sparkling (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Sparkling Blend,2,3,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,14
Tournon by Michel Chapoutier 2013 Mathilda Shiraz (Victoria),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Tournon by Michel Chapoutier,90,"141-143 High Street, Heathcote, Vic 3523",144.7058405,-36.9193206,91,15
Tahbilk 2014 Viognier (Nagambie Lakes),Victoria,Nagambie Lakes,Tabilk ,3,88.07,Viognier,1,3,Tahbilk,88.58,"254 O'Neils Road, Tabilk, Vic 3608",145.1240786,-36.836604,92,19
Yeringberg 2012 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,91,35
Chambers Rosewood Vineyards NV Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,89,16
Sticks 2010 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen,19,88.25,Pinot Noir,10,17,Sticks,87.5,"206 Yarraview Road, Yarra Glen, Vic 3775",145.3695467,-37.6542231,88,20
Chambers Rosewood Vineyards NV Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,91,16
Eldridge Estate 2013 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Red Hill ,7,89.24,Pinot Noir,6,17,Eldridge Estate,93,"120 Arthurs Seat Road, Red Hill, Vic 3937",145.0148911,-38.3710141,93,50
Greenstone 2007 Shiraz (Heathcote),Victoria,Yarra Valley,Yarra Glen,19,88.25,Shiraz,7,27,Greenstone,90,"179 Glenview Road, Yarra Glen, Vic 3775",145.3569642,-37.6580718,90,40
Innocent Bystander 2014 Pinot Noir (Victoria),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,89,20
Sexton 2004 Harry's Monster Red (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Bordeaux-style Red Blend,5,5,Sexton,87,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,87,30
De Bortoli 2010 Gulf Station Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Pinot Noir,10,17,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,86,20
Innocent Bystander 2010 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,86,20
Heathcote Estate 2006 H.D. II Shiraz (Heathcote),Victoria,Heathcote,Heathcote ,8,90.46,Shiraz,7,27,Heathcote Estate,89,"	Drummonds Lane, Heathcote, Vic 3523",144.6832323,-36.8540258,89,95
Innocent Bystander 2014 Mea Culpa Syrah (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Syrah,2,2,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,93,60
Yering Station 2006 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,83,18
Innocent Bystander 2013 Mea Culpa Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,92,60
Yeringberg 2013 Red (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Bordeaux-style Red Blend,5,5,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,86,90
Four Sisters 2015 Chardonnay (Central Victoria),Victoria,Goulburn Valley,Tabilk ,1,86.67,Chardonnay,1,16,Four Sisters,86.67,"199 Dwyers Road, Tabilk, Vic 3608",141.496798,-37.711133,85,14